Current Round,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Round Progress,Not Started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,2,2,,,,,,,,,,,,
Round,,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,1,1,,,,,,,,,,,,
Overall Round,,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,7,7,,,,,,,,,,,,
Player ID,Player Name,Prior Day Points,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Day 3 Points,Total Points,Top 4s + Firsts,Firsts,Seconds,Thirds,Fourths,Fifths,Sixths,Sevenths,Eighths
10,TexSummers,0,2,1,,2,2,,1,,,,,,,,,,,,,,,15,15,3,1,1,0,0,0,0,0,0
30,Z10 bossoskills,0,4,3,,4,1,,2,,,,,,,,,,,,,,,14,14,3,1,0,1,0,0,0,0,0
23,VA PA CASA,0,3,2,,3,2,,3,,,,,,,,,,,,,,,14,14,2,0,2,0,0,0,0,0,0
8,TT arkjow,0,1,1,,1,4,,4,,,,,,,,,,,,,,,13,13,3,1,0,0,1,0,0,0,0
6,Filup,0,1,3,,1,2,,4,,,,,,,,,,,,,,,13,13,2,0,1,1,0,0,0,0,0
11,setsuko,0,2,2,,2,3,,3,,,,,,,,,,,,,,,13,13,2,0,1,1,0,0,0,0,0
32,Cambulee,0,4,2,,4,3,,2,,,,,,,,,,,,,,,13,13,2,0,1,1,0,0,0,0,0
19,PockyGom,0,3,5,,3,1,,1,,,,,,,,,,,,,,,12,12,2,1,0,0,0,1,0,0,0
22,CTG robinsongz,0,3,4,,3,3,,1,,,,,,,,,,,,,,,11,11,2,0,0,1,1,0,0,0,0
3,100T Dishsoap,0,1,2,,1,5,,2,,,,,,,,,,,,,,,11,11,1,0,1,0,0,1,0,0,0
5,ArtixRx,0,1,8,,1,1,,3,,,,,,,,,,,,,,,9,9,2,1,0,0,0,0,0,0,1
14,bopster,0,2,8,,2,1,,4,,,,,,,,,,,,,,,9,9,2,1,0,0,0,0,0,0,1
20,100T Rereplay,0,3,1,,3,8,,4,,,,,,,,,,,,,,,9,9,2,1,0,0,0,0,0,0,1
25,Marcel P,0,4,1,,4,8,,3,,,,,,,,,,,,,,,9,9,2,1,0,0,0,0,0,0,1
1,Grea,0,1,6,,1,3,,2,,,,,,,,,,,,,,,9,9,1,0,0,1,0,0,1,0,0
9,Kurumx,0,2,4,,2,5,,1,,,,,,,,,,,,,,,9,9,1,0,0,0,1,1,0,0,0
26,Taliyent,0,4,8,,4,2,,1,,,,,,,,,,,,,,,8,8,1,0,1,0,0,0,0,0,1
17,wasianiverson,0,3,3,,3,7,,2,,,,,,,,,,,,,,,8,8,1,0,0,1,0,0,0,1,0
2,AnkallE,0,1,4,,1,6,,3,,,,,,,,,,,,,,,8,8,1,0,0,0,1,0,1,0,0
29,Macmeno,0,4,4,,4,6,,4,,,,,,,,,,,,,,,8,8,1,0,0,0,1,0,1,0,0
27,Bapzera,0,4,5,,4,5,,4,,,,,,,,,,,,,,,8,8,0,0,0,0,0,2,0,0,0
13,BrosephTFT,0,2,3,,2,8,,3,,,,,,,,,,,,,,,7,7,1,0,0,1,0,0,0,0,1
15,J or C,0,2,7,,2,4,,2,,,,,,,,,,,,,,,7,7,1,0,0,0,1,0,0,1,0
31,Chunington,0,4,7,,4,4,,1,,,,,,,,,,,,,,,7,7,1,0,0,0,1,0,0,1,0
24,TL VCLF,0,3,8,,3,4,,1,,,,,,,,,,,,,,,6,6,1,0,0,0,1,0,0,0,1
16,VIT MILK,0,2,5,,2,7,,2,,,,,,,,,,,,,,,6,6,0,0,0,0,0,1,0,1,0
21,Cash,0,3,7,,3,5,,3,,,,,,,,,,,,,,,6,6,0,0,0,0,0,1,0,1,0
12,Quintaliha,0,2,6,,2,6,,4,,,,,,,,,,,,,,,6,6,0,0,0,0,0,0,2,0,0
18,trivisan,0,3,6,,3,6,,4,,,,,,,,,,,,,,,6,6,0,0,0,0,0,0,2,0,0
7,Darth Nub,0,1,5,,1,8,,3,,,,,,,,,,,,,,,5,5,0,0,0,0,0,1,0,0,1
28,Upsetmax1,0,4,6,,4,7,,2,,,,,,,,,,,,,,,5,5,0,0,0,0,0,0,1,1,0
4,dehua,0,1,7,,1,7,,1,,,,,,,,,,,,,,,4,4,0,0,0,0,0,0,0,2,0
