Current Round,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Round Progress,Not Started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,,3,3,,3,3,,3,3,,3,3,,3,3,,3,3,,,,,,,,,,,,
Round,,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,,,,,,,,,,,
Overall Round,,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,7,7,,8,8,,9,9,,10,10,,11,11,,12,12,,13,13,,14,14,,15,15,,16,16,,17,17,,18,18,,,,,,,,,,,,
Player ID,Player Name,Prior Day Points,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Day 3 Points,Total Points,Top 4s + Firsts,Firsts,Seconds,Thirds,Fourths,Fifths,Sixths,Sevenths,Eighths
8,TT arkjow,0,1,1,,1,4,,4,8,,4,5,,2,1,,2,1,,2,3,,2,2,,1,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,52,52,10,3,1,1,2,1,0,0,1
23,VA PA CASA,0,3,2,,3,2,,3,3,,3,7,,2,6,,2,4,,1,1,,1,2,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,52,52,8,1,4,1,1,0,1,1,0
11,setsuko,0,2,2,,2,3,,2,2,,2,4,,3,2,,3,6,,3,3,,3,5,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,7,0,3,3,1,1,1,0,0
30,Z10 bossoskills,0,4,3,,4,1,,2,5,,2,7,,3,5,,3,3,,1,2,,1,5,,1,8,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42,5,1,1,2,0,3,0,1,1
25,Marcel P,0,4,1,,4,8,,4,3,,4,4,,2,4,,2,3,,3,7,,3,3,,1,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,7,1,0,3,2,1,0,1,1
20,100T Rereplay,0,3,1,,3,8,,3,4,,3,4,,4,6,,4,4,,2,7,,2,4,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42,8,2,0,0,4,0,1,1,1
9,Kurumx,0,2,4,,2,5,,1,4,,1,6,,4,8,,4,2,,3,1,,3,8,,1,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37,5,1,1,0,2,1,2,0,2
26,Taliyent,0,4,8,,4,2,,1,5,,1,7,,4,3,,4,5,,2,8,,2,7,,1,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,2,0,1,1,0,2,0,3,2
22,CTG robinsongz,0,3,4,,3,3,,1,3,,1,2,,4,1,,4,1,,1,8,,1,4,,2,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,52,52,10,2,1,3,2,0,0,0,1
4,dehua,0,1,7,,1,7,,1,1,,1,1,,1,2,,1,1,,2,2,,2,6,,2,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,47,47,8,3,2,0,0,0,1,3,0
32,Cambulee,0,4,2,,4,3,,3,1,,3,8,,3,1,,3,8,,3,2,,3,4,,2,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,9,2,2,1,2,0,0,0,2
10,TexSummers,0,2,1,,2,2,,1,6,,1,3,,4,4,,4,6,,2,4,,2,5,,2,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,44,44,6,1,1,1,2,1,3,0,0
29,Macmeno,0,4,4,,4,6,,3,5,,3,6,,3,4,,3,1,,3,6,,3,1,,2,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,6,2,0,0,2,1,3,0,1
13,BrosephTFT,0,2,3,,2,8,,3,2,,3,5,,1,8,,1,3,,2,5,,2,3,,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,6,1,1,3,0,2,0,0,2
17,wasianiverson,0,3,3,,3,7,,2,3,,2,6,,3,3,,3,2,,2,6,,2,8,,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,5,0,2,3,0,0,2,1,1
27,Bapzera,0,4,5,,4,5,,4,4,,4,6,,1,3,,1,7,,1,5,,1,8,,2,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,2,0,0,1,1,4,1,1,1
21,Cash,0,3,7,,3,5,,2,4,,2,2,,1,1,,1,5,,2,1,,2,1,,3,7,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,8,3,1,0,1,2,0,2,0
3,100T Dishsoap,0,1,2,,1,5,,2,1,,2,1,,1,5,,1,6,,1,3,,1,3,,3,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,7,2,1,2,0,3,1,0,0
6,Filup,0,1,3,,1,2,,4,7,,4,3,,1,4,,1,2,,1,7,,1,1,,3,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,8,1,2,2,2,0,0,2,0
14,bopster,0,2,8,,2,1,,4,1,,4,1,,2,7,,2,2,,3,5,,3,6,,3,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,8,3,2,0,0,1,1,1,1
31,Chunington,0,4,7,,4,4,,1,2,,1,4,,3,6,,3,4,,1,4,,1,6,,3,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,7,1,1,0,4,0,2,1,0
12,Quintaliha,0,2,6,,2,6,,4,2,,4,2,,4,7,,4,3,,3,4,,3,7,,3,8,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36,4,0,2,1,1,0,2,2,1
15,J or C,0,2,7,,2,4,,2,6,,2,3,,2,2,,2,8,,3,8,,3,2,,3,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,4,0,2,1,1,0,2,1,2
5,ArtixRx,0,1,8,,1,1,,3,8,,3,3,,4,2,,4,7,,1,6,,1,7,,3,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,36,36,5,1,1,2,0,0,1,2,2
16,VIT MILK,0,2,5,,2,7,,3,7,,3,2,,1,6,,1,4,,cut,,,cut,,,cut,,,cut,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,2,0,1,0,1,1,1,2,0
19,PockyGom,0,3,5,,3,1,,1,8,,1,5,,2,8,,2,5,,cut,,,cut,,,cut,,,cut,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,2,1,0,0,0,3,0,0,2
1,Grea,0,1,6,,1,3,,2,7,,2,5,,2,5,,2,6,,cut,,,cut,,,cut,,,cut,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,1,0,0,1,0,2,2,1,0
7,Darth Nub,0,1,5,,1,8,,3,6,,3,1,,3,8,,3,7,,cut,,,cut,,,cut,,,cut,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,2,1,0,0,0,1,1,1,2
2,AnkallE,0,1,4,,1,6,,4,5,,4,7,,4,5,,4,8,,cut,,,cut,,,cut,,,cut,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,1,0,0,0,1,2,1,1,1
24,TL VCLF,0,3,8,,3,4,,1,7,,1,8,,2,3,,2,7,,cut,,,cut,,,cut,,,cut,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,2,0,0,1,1,0,0,2,2
18,trevisan,0,3,6,,3,6,,4,6,,4,8,,3,7,,3,5,,cut,,,cut,,,cut,,,cut,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,0,0,0,0,0,1,3,1,1
28,Upsetmax1,0,4,6,,4,7,,2,8,,2,8,,1,7,,1,8,,cut,,,cut,,,cut,,,cut,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,0,0,0,0,0,1,2,3
